name,team,date,steps
Alex Example,WA,2027-03-01,10250
Sam Example,Vic & Tas,2027-03-01,12400
Jordan Example,Interactive,2027-03-01,8750
Priya Example,International - PNP & NPL,2027-03-01,11100
Morgan Example,SA,2027-03-01,9200
Taylor Example,NSW,2027-03-01,10500
Alex Example,WA,2027-03-02,11300
Sam Example,Vic & Tas,2027-03-02,9800
Jordan Example,Interactive,2027-03-02,12750
Priya Example,International - PNP & NPL,2027-03-02,13400
Morgan Example,SA,2027-03-02,10100
Taylor Example,NSW,2027-03-02,9400
